"Country","Indicator","Note","Year_2000","Year_2005","Year_2010","Year2015"
"Cabo Verde Republic of","Purchasing Power Parity (NCU per Int$)","","48.79653836","43.92521821","48.30215201","46.60313334"
"Cabo Verde Republic of","Population (in thousands)","","435.079","474.567","502.384","532.913"
"Cabo Verde Republic of","Female Population 15-49","","167.53","182.27","188.764","198.039"
"Central African Republic","Current Health Expenditure (CHE) per Capita in PPP","","31.28556197","34.61981917","32.55735154","42.08366354"
"Central African Republic","Gross Domestic Product ","in million current PPP","2353.01787733","3000.43468973","3870.41491199","3032.44274849"
"Central African Republic","Purchasing Power Parity (NCU per Int$)","","266.98649681","235.10426753","254.14019488","308.90080298"
"Central African Republic","Population (in thousands)","","3754.986","4127.91","4448.525","4546.1"
"Central African Republic","Female Population 15-49","","1377.073","1520.771","1647.954","1684.732"
"Chad","Current Health Expenditure (CHE) per Capita in PPP","","48.61965063","77.57403893","76.76163087","99.64996053"
"Chad","Gross Domestic Product ","in million current PPP","7432.19015078","16131.38910558","22473.61035028","30707.6971202"
"Chad","Purchasing Power Parity (NCU per Int$)","","150.15345105","218.09169545","235.41424442","210.82899752"
"Chad","Population (in thousands)","","8342.559","10067.009","11887.202","14009.413"
"Chad","Female Population 15-49","","2964.589","3591.096","4282.655","5109.407"
"Comoros","Current Health Expenditure (CHE) per Capita in PPP","","142.41195723","131.56446847","120.82038193","120.43907607"
"Comoros","Gross Domestic Product ","in million current PPP","630.54891747","815.43223554","977.70121647","1218.49147982"
"Comoros","Purchasing Power Parity (NCU per Int$)","","170.97959732","187.76790189","206.45264279","214.50868088"
"Comoros","Population (in thousands)","","542.357","611.627","689.692","777.424"
"Comoros","Female Population 15-49","","199.615","226.05","254.301","285.94"
"Congo","Current Health Expenditure (CHE) per Capita in PPP","","60.15283046","79.21946457","102.93104312","201.49793181"
"Congo","Gross Domestic Product ","in million current PPP","11454.85543785","15702.41666053","22797.77181204","29473.18871891"
"Congo","Purchasing Power Parity (NCU per Int$)","","200.13347287","204.47171091","266.80326701","171.5620949"
"Congo","Population (in thousands)","","3225.727","3718.243","4386.693","4995.648"
"Congo","Female Population 15-49","","1178.086","1359.472","1604.403","1826.165"
"Côte d'Ivoire","Current Health Expenditure (CHE) per Capita in PPP","","132.52348863","127.86605041","162.01350064","181.66232354"
"Côte d'Ivoire","Gross Domestic Product ","in million current PPP","38985.76227951","43795.0164216","53774.5988365","79767.6126634"
"Côte d'Ivoire","Purchasing Power Parity (NCU per Int$)","","195.71929735","205.77124377","229.19228161","245.65585387"
"Côte d'Ivoire","Population (in thousands)","","16686.561","18336.303","20401.331","23108.472"
"Côte d'Ivoire","Female Population 15-49","","5908.796","6570.204","7387.985","8442.844"
"Democratic Republic of the Congo","Current Health Expenditure (CHE) per Capita in PPP","","6.59557302","20.87681569","24.13578014","32.28092372"
"Democratic Republic of the Congo","Gross Domestic Product ","in million current PPP","19746.84260367","26739.96862141","38746.25450516","61694.22830032"
"Democratic Republic of the Congo","Purchasing Power Parity (NCU per Int$)","","66.69800466","212.04456446","482.5995503","576.90382035"
"Democratic Republic of the Congo","Population (in thousands)","","47076.387","54751.476","64523.263","76196.619"
"Democratic Republic of the Congo","Female Population 15-49","","16904.798","19643.833","23126.95","27416.813"
"Equatorial Guinea","Current Health Expenditure (CHE) per Capita in PPP","","223.02672627","389.73964639","506.16455981","767.68744963"
"Equatorial Guinea","Gross Domestic Product ","in million current PPP","5806.60066021","21067.75474343","31425.60640721","33318.71591886"
"Equatorial Guinea","Purchasing Power Parity (NCU per Int$)","","141.70941798","204.89269277","256.86991988","215.89301393"
"Equatorial Guinea","Population (in thousands)","","614.323","757.317","951.104","1175.389"
"Equatorial Guinea","Female Population 15-49","","211.114","255.143","315.099","388.073"
"Eritrea","Current Health Expenditure (CHE) per Capita in PPP","","60.04663208","77.04547153","47.8200536","50.63569127"
"Eritrea","Gross Domestic Product ","in million current PPP","4515.73416878","5756.21314069","6093.32988842","8275.41383733"
"Eritrea","Purchasing Power Parity (NCU per Int$)","","1.5056245","2.93248349","5.34190674","8.253122"
"Eritrea","Population (in thousands)","","3392.801","3969.007","4390.84","4846.976"
"Eritrea","Female Population 15-49","","1245.845","1461.656","1608.3","1799.91"
"Ethiopia","Current Health Expenditure (CHE) per Capita in PPP","","21.38136861","26.75752868","57.52184849","64.90913139"
"Ethiopia","Gross Domestic Product ","in million current PPP","32590.25784716","50061.85109548","92288.25674563","163047.84500386"
"Ethiopia","Purchasing Power Parity (NCU per Int$)","","2.05975664","2.14432742","4.18192968","7.96061426"
"Ethiopia","Population (in thousands)","","66537.331","76727.083","87702.67","99873.033"
"Ethiopia","Female Population 15-49","","23869.309","27932.216","32484.028","37338.091"
"Gabon","Current Health Expenditure (CHE) per Capita in PPP","","436.0759931","433.48503036","372.45348011","480.29498807"
"Gabon","Gross Domestic Product ","in million current PPP","18478.30050509","20729.81747246","24677.23263896","34885.21274841"
"Gabon","Purchasing Power Parity (NCU per Int$)","","207.93459869","240.68036328","288.17967979","243.75499904"
"Gabon","Population (in thousands)","","1231.122","1403.126","1640.21","1930.175"
"Gabon","Female Population 15-49","","433.668","502.196","583.849","688.055"
"Gambia","Current Health Expenditure (CHE) per Capita in PPP","","44.46332497","66.99993747","92.46372498","79.50438266"
"Gambia","Gross Domestic Product ","in million current PPP","1173.93134033","1971.5973102","2726.00423956","3302.05706464"
"Gambia","Purchasing Power Parity (NCU per Int$)","","6.61708205","9.04647207","9.78061575","11.68392891"
"Gambia","Population (in thousands)","","1231.844","1444.204","1692.149","1977.59"
"Gambia","Female Population 15-49","","459.756","540.435","635.339","743.47"
"Ghana","Current Health Expenditure (CHE) per Capita in PPP","","115.6114729","196.16121088","183.76733768","251.45427608"
"Ghana","Gross Domestic Product ","in million current PPP","55202.78092127","79288.63873882","73475.50769067","113931.72719632"
"Ghana","Purchasing Power Parity (NCU per Int$)","","0.08006843","0.19968813","0.62663058","1.20209711"
"Ghana","Population (in thousands)","","18938.762","21542.009","24512.104","27582.821"
"Ghana","Female Population 15-49","","6923.986","8012.413","9187.642","10270.015"
"Guinea","Current Health Expenditure (CHE) per Capita in PPP","","56.14195402","60.6023131","47.35104067","108.77923127"
"Guinea","Gross Domestic Product ","in million current PPP","13373.8690058","19888.69099536","16660.95776498","22572.16643679"
"Guinea","Purchasing Power Parity (NCU per Int$)","","527.54397377","825.72457905","2358.18976041","2907.41255093"
"Guinea","Population (in thousands)","","8808.546","9679.745","10794.17","12091.533"
"Guinea","Female Population 15-49","","3161.527","3481.786","3899.665","4398.422"
"Guinea-Bissau","Current Health Expenditure (CHE) per Capita in PPP","","75.20610061","76.1118954","87.10318663","100.42428486"
"Guinea-Bissau","Gross Domestic Product ","in million current PPP","1316.26622822","1645.41723535","2134.72228476","2727.1305494"
"Guinea-Bissau","Purchasing Power Parity (NCU per Int$)","","196.17611883","188.10791169","196.98815298","224.59907544"
"Guinea-Bissau","Population (in thousands)","","1243.229","1380.838","1555.88","1770.526"
"Guinea-Bissau","Female Population 15-49","","462.927","517.82","581.382","662.951"
"Kenya","Current Health Expenditure (CHE) per Capita in PPP","","88.9276322","117.94645048","148.37772836","147.6614074"
"Kenya","Gross Domestic Product ","in million current PPP","59136.13843135","80005.14605944","100305.57023827","142633.43364525"
"Kenya","Purchasing Power Parity (NCU per Int$)","","18.2096097","19.83296173","31.59646062","43.89324326"
"Kenya","Population (in thousands)","","31450.483","36048.288","41350.152","47236.259"
"Kenya","Female Population 15-49","","11878.442","13625.735","15662.44","18090.812"
"Lesotho","Current Health Expenditure (CHE) per Capita in PPP","","84.8732335","84.38736429","184.89576931","243.93119851"
"Lesotho","Gross Domestic Product ","in million current PPP","2707.81928148","3247.31274459","4917.5498791","6356.12831668"
"Lesotho","Purchasing Power Parity (NCU per Int$)","","2.33398146","3.14567792","3.69330265","5.09822936"
"Lesotho","Population (in thousands)","","1868.699","1949.543","2040.551","2174.645"
"Lesotho","Female Population 15-49","","708.517","741.627","772.003","822.269"
"Liberia","Current Health Expenditure (CHE) per Capita in PPP","","37.08006665","64.87622202","93.73927114","132.65858786"
"Liberia","Gross Domestic Product ","in million current PPP","2677.81161049","2408.17537037","4202.17555228","5858.37485234"
"Liberia","Purchasing Power Parity (NCU per Int$)","","13.35","22.5","33.95","46.74"
"Liberia","Population (in thousands)","","2884.522","3261.23","3948.125","4499.621"
"Liberia","Female Population 15-49","","1046.104","1180.889","1436.56","1645.931"
"Madagascar","Current Health Expenditure (CHE) per Capita in PPP","","61.643618","68.37171381","72.23226745","80.71873523"
"Madagascar","Gross Domestic Product ","in million current PPP","18046.3513585","22686.21542219","28716.62051189","35539.22821355"
"Madagascar","Purchasing Power Parity (NCU per Int$)","","290.82975809","444.93247605","635.35087607","804.31738214"
"Madagascar","Population (in thousands)","","15766.806","18336.724","21151.64","24234.088"
"Madagascar","Female Population 15-49","","5780.896","6785.558","7877.576","9055.926"
"Malawi","Current Health Expenditure (CHE) per Capita in PPP","","39.9028792","45.29759486","73.28798924","108.69485983"
"Malawi","Gross Domestic Product ","in million current PPP","13540.2865951","9754.95633287","15350.12914383","20465.71048192"
"Malawi","Purchasing Power Parity (NCU per Int$)","","13.29528727","44.38051645","68.22978427","156.28658496"
"Malawi","Population (in thousands)","","11376.172","13039.711","15167.095","17573.607"
"Malawi","Female Population 15-49","","4168.028","4819.492","5622.501","6637.411"
"Mali","Current Health Expenditure (CHE) per Capita in PPP","","59.15977598","78.14948841","81.20706466","84.02325289"
"Mali","Gross Domestic Product ","in million current PPP","12717.60404193","20064.7304857","27649.4705681","35700.03208184"
"Mali","Purchasing Power Parity (NCU per Int$)","","165.3825668","164.17140526","191.28536248","217.0346509"
"Mali","Population (in thousands)","","10967.69","12798.763","15075.085","17467.905"
"Mali","Female Population 15-49","","3933.643","4586.642","5411.443","6355.568"
"Mauritania","Current Health Expenditure (CHE) per Capita in PPP","","97.31678301","118.72939025","108.37364011","177.08066607"
"Mauritania","Gross Domestic Product ","in million current PPP","5908.14471594","8322.81559667","11730.56489998","15946.18241009"
"Mauritania","Purchasing Power Parity (NCU per Int$)","","52.3149","69.6918","102.0216","98.295"
"Mauritania","Population (in thousands)","","2709.359","3130.72","3609.543","4182.341"
"Mauritania","Female Population 15-49","","990.229","1148.651","1322.472","1526.87"
"Mauritius","Current Health Expenditure (CHE) per Capita in PPP","","270.55572274","428.03608958","716.58641813","1147.85424472"
"Mauritius","Gross Domestic Product ","in million current PPP","10604.45557935","14050.37828606","18969.17174524","24969.49932183"
"Mauritius","Purchasing Power Parity (NCU per Int$)","","11.54326114","13.62191082","15.77143188","16.16115705"
"Mauritius","Population (in thousands)","","1185.145","1222.003","1247.955","1259.456"
"Mauritius","Female Population 15-49","","438.686","436.217","427.314","406.358"
"Mozambique","Current Health Expenditure (CHE) per Capita in PPP","","16.83303301","41.85951439","45.49039644","61.70759636"
"Mozambique","Gross Domestic Product ","in million current PPP","7709.19204215","13600.5749163","21779.85995263","33353.81468538"
"Mozambique","Purchasing Power Parity (NCU per Int$)","","9.49749333","12.87813207","15.83293009","17.73947015"
"Mozambique","Population (in thousands)","","18067.687","20923.07","24221.405","28010.691"
"Mozambique","Female Population 15-49","","6760.113","7776.328","9005.906","10456.191"
"Namibia","Current Health Expenditure (CHE) per Capita in PPP","","499.94124942","801.69483903","784.81492613","1046.70882792"
"Namibia","Gross Domestic Product ","in million current PPP","9192.39424973","13136.02016038","18014.87760758","25736.52298959"
"Namibia","Purchasing Power Parity (NCU per Int$)","","2.95091782","3.51521994","4.58504364","5.73640037"
"Namibia","Population (in thousands)","","1899.257","2032.196","2173.17","2425.561"
"Namibia","Female Population 15-49","","730.524","790.244","843.944","926.691"
"Niger","Current Health Expenditure (CHE) per Capita in PPP","","34.12834709","50.36605631","51.93978528","68.30457835"
"Niger","Gross Domestic Product ","in million current PPP","6279.45760107","9152.88225014","13099.59131669","19165.85620639"
"Niger","Purchasing Power Parity (NCU per Int$)","","188.91408707","194.14135913","216.21178337","222.73395741"
"Niger","Population (in thousands)","","11352.973","13618.449","16425.578","19896.965"
"Niger","Female Population 15-49","","4029.003","4823.448","5822.497","7070.753"
"Nigeria","Current Health Expenditure (CHE) per Capita in PPP","","87.06565227","212.93638391","164.48213536","215.72723891"
"Nigeria","Gross Domestic Product ","in million current PPP","403866.50853709","775782.11025339","800182.45285087","1094059.13699963"
"Nigeria","Purchasing Power Parity (NCU per Int$)","","17.07861844","28.70648563","69.32087901","86.9950561"
"Nigeria","Population (in thousands)","","122352.009","138939.478","158578.261","181181.744"
"Nigeria","Female Population 15-49","","43944.866","49839.323","56945.346","65273.93"
"Rwanda","Current Health Expenditure (CHE) per Capita in PPP","","26.54045967","80.81593214","114.60301159","119.36132428"
"Rwanda","Gross Domestic Product ","in million current PPP","4996.03873549","8279.2902804","13585.07479214","21292.18231655"
"Rwanda","Purchasing Power Parity (NCU per Int$)","","135.30719752","173.9279517","247.84552544","280.29066778"
"Rwanda","Population (in thousands)","","8025.703","8991.735","10246.842","11629.553"
"Rwanda","Female Population 15-49","","3081.369","3438.934","3893.873","4423.63"
"Sao Tome and Principe","Current Health Expenditure (CHE) per Capita in PPP","","197.31813745","228.65779738","176.97756438","167.60383762"
"Sao Tome and Principe","Gross Domestic Product ","in million current PPP","238.48547395","318.48224527","452.33425095","612.6361424"
"Sao Tome and Principe","Purchasing Power Parity (NCU per Int$)","","2567.8","4316.4761","8075.0551","11455.5974"
"Sao Tome and Principe","Population (in thousands)","","138.606","155.63","174.776","195.553"
"Sao Tome and Principe","Female Population 15-49","","51.071","57.394","64.927","72.999"
"Senegal","Current Health Expenditure (CHE) per Capita in PPP","","68.56492844","86.45768272","104.23098724","138.89463019"
"Senegal","Gross Domestic Product ","in million current PPP","14967.86111508","21114.82805863","27633.72406276","36647.0866427"
"Senegal","Purchasing Power Parity (NCU per Int$)","","222.59479657","217.50937243","231.62777429","220.53068171"
"Senegal","Population (in thousands)","","9884.052","11251.266","12916.229","14976.994"
"Senegal","Female Population 15-49","","3683.545","4227.742","4848.291","5606.992"
"Seychelles","Current Health Expenditure (CHE) per Capita in PPP","","684.02389674","581.81074681","702.49759588","867.69391688"
"Seychelles","Gross Domestic Product ","in million current PPP","1186.55802623","1314.10355387","1791.19521793","2428.97097265"
"Seychelles","Purchasing Power Parity (NCU per Int$)","","2.96066431","3.84672881","6.53474277","7.54887572"
"Seychelles","Population (in thousands)","","81.151","88.744","91.405","93.742"
"Seychelles","Female Population 15-49","","30.2","32.642","30.959","30.737"
"Sierra Leone","Current Health Expenditure (CHE) per Capita in PPP","","121.59434767","104.48207916","128.58581001","286.07070441"
"Sierra Leone","Gross Domestic Product ","in million current PPP","4818.76463358","5356.16459151","7589.06366732","10141.27053959"
"Sierra Leone","Purchasing Power Parity (NCU per Int$)","","402.86694778","890.52304471","1351.3675006","2128.13916321"
"Sierra Leone","Population (in thousands)","","4564.297","5658.379","6458.72","7237.025"
"Sierra Leone","Female Population 15-49","","1681.479","2103.787","2424.157","2752.382"
"South Africa","Current Health Expenditure (CHE) per Capita in PPP","","562.33258792","643.83798989","863.69088773","1079.63902132"
"South Africa","Gross Domestic Product ","in million current PPP","345745.19429291","468739.74075829","600823.67802678","728178.7187693"
"South Africa","Purchasing Power Parity (NCU per Int$)","","2.73705612","3.49715174","4.57373619","5.56377287"
"South Africa","Population (in thousands)","","45728.315","48820.586","51584.663","55291.225"
"South Africa","Female Population 15-49","","17519.284","18489.126","19244.796","20266.23"
"South Sudan","Current Health Expenditure (CHE) per Capita in PPP","",,,,"61.49793337"
"South Sudan","Gross Domestic Product ","in million current PPP",,,,"27674.98138496"
"South Sudan","Purchasing Power Parity (NCU per Int$)","","0","0","0.9697","1.6116"
"South Sudan","Population (in thousands)","","6700.656","8108.877","10067.192","11882.136"
"South Sudan","Female Population 15-49","","2407.178","2952.455","3684.555","4365.805"
"Swaziland","Current Health Expenditure (CHE) per Capita in PPP","","213.34421724","344.92200527","605.83127804","627.27695684"
"Swaziland","Gross Domestic Product ","in million current PPP","5076.97790058","6784.00519825","8714.86912156","10645.52216566"
"Swaziland","Purchasing Power Parity (NCU per Int$)","","2.45520076","3.04274531","3.77917322","4.70704952"
"Swaziland","Population (in thousands)","","1061.468","1105.873","1202.843","1319.011"
"Swaziland","Female Population 15-49","","418.559","434.328","470.365","516.466"
"Togo","Current Health Expenditure (CHE) per Capita in PPP","","38.05205552","44.44428828","74.82199954","91.80855556"
"Togo","Gross Domestic Product ","in million current PPP","5784.75059737","6440.46522551","8312.48465499","10895.89198958"
"Togo","Purchasing Power Parity (NCU per Int$)","","183.16312556","186.77703518","204.13030164","226.85402924"
"Togo","Population (in thousands)","","4970.367","5683.268","6502.952","7416.802"
"Togo","Female Population 15-49","","1848.125","2104.795","2410.047","2767.88"
"Uganda","Current Health Expenditure (CHE) per Capita in PPP","","66.04055835","131.80126168","167.83420094","119.95852441"
"Uganda","Gross Domestic Product ","in million current PPP","20998.16034445","33106.41480082","54129.46798715","76030.26724762"
"Uganda","Purchasing Power Parity (NCU per Int$)","","468.15253521","516.50621497","813.0894804","1074.41015213"
"Uganda","Population (in thousands)","","24039.274","28543.94","33915.133","40144.87"
"Uganda","Female Population 15-49","","8756.451","10429.15","12486.63","14941.877"
"United Republic of Tanzania","Current Health Expenditure (CHE) per Capita in PPP","","47.32208974","100.9633353","105.40364791","97.59082965"
"United Republic of Tanzania","Gross Domestic Product ","in million current PPP","47562.06650659","62037.90950475","91693.55855381","138749.49919446"
"United Republic of Tanzania","Purchasing Power Parity (NCU per Int$)","","209.06421294","308.08307618","478.0708557","654.87678534"
"United Republic of Tanzania","Population (in thousands)","","34178.042","39410.545","46098.591","53879.957"
"United Republic of Tanzania","Female Population 15-49","","12608.318","14478.854","17019.529","19961.227"
"Zambia","Current Health Expenditure (CHE) per Capita in PPP","","119.22170345","151.71059007","119.49894103","171.30477709"
"Zambia","Gross Domestic Product ","in million current PPP","17554.32008902","26640.73994736","44499.39693558","62188.13690947"
"Zambia","Purchasing Power Parity (NCU per Int$)","","0.63807655","1.39594471","2.18465882","2.94881"
"Zambia","Population (in thousands)","","10531.221","12052.156","13850.033","16100.587"
"Zambia","Female Population 15-49","","3895.726","4466.78","5190.378","6086.011"
"Zimbabwe","Current Health Expenditure (CHE) per Capita in PPP","",,,"169.65840931","185.79602565"
"Zimbabwe","Gross Domestic Product ","in million current PPP",,,"20205.07742135","31669.46162014"
"Zimbabwe","Purchasing Power Parity (NCU per Int$)","",,,"0.4982411","0.50749205"
"Zimbabwe","Population (in thousands)","",,,"14086.317","15777.451"
"Zimbabwe","Female Population 15-49","",,,"5460.638","6112.538"
"Antigua and Barbuda","Current Health Expenditure (CHE) per Capita in PPP","","579.32713722","817.79163007","1025.919862","1012.12160864"
"Antigua and Barbuda","Gross Domestic Product ","in million current PPP","1252.46818249","1612.47608737","1782.09656996","2144.50033142"
"Antigua and Barbuda","Purchasing Power Parity (NCU per Int$)","","1.78926701","1.71165329","1.74625778","1.718349"
"Antigua and Barbuda","Population (in thousands)","","83.584","89.253","94.661","99.923"
"Antigua and Barbuda","Female Population 15-49","","33.21","34.6","36.03","36.478"
"Argentina","Current Health Expenditure (CHE) per Capita in PPP","","1085.40693386","1054.15818257","1578.8820891","1808.94614677"
"Argentina","Gross Domestic Product ","in million current PPP","475051.18537121","540900.99889959","755780.00320346","898290.83305666"
"Argentina","Purchasing Power Parity (NCU per Int$)","","0.64938476","1.07697712","2.19868347","6.62871175"
"Argentina","Population (in thousands)","","37057.452","39145.488","41223.889","43417.765"
"Argentina","Female Population 15-49","","12588.326","13160.854","13740.663","14353.478"
"Bahamas","Current Health Expenditure (CHE) per Capita in PPP","","1045.80916372","1325.75162588","1695.86524278","1344.1155412"
"Bahamas","Gross Domestic Product ","in million current PPP","7789.36680251","9498.7557026","10331.05188589","8683.94329459"
"Bahamas","Purchasing Power Parity (NCU per Int$)","","1.03679801","1.03550405","0.97724802","1.29434286"
"Bahamas","Population (in thousands)","","297.89","329.249","360.832","386.838"
"Bahamas","Female Population 15-49","","113.165","120.958","128.756","131.313"
"Barbados","Current Health Expenditure (CHE) per Capita in PPP","","641.49061399","954.88323498","1109.03856214","1258.89982661"
"Barbados","Gross Domestic Product ","in million current PPP","3312.38663081","3944.34788762","4577.10948746","5102.17147277"
"Barbados","Purchasing Power Parity (NCU per Int$)","","1.88474375","1.97624556","1.97941518","1.84039287"
"Barbados","Population (in thousands)","","269.847","274.009","279.569","284.217"
"Barbados","Female Population 15-49","","93.981","92.439","89.618","86.286"
"Belize","Current Health Expenditure (CHE) per Capita in PPP","","217.42907503","295.48322863","444.77866244","515.53925675"
"Belize","Gross Domestic Product ","in million current PPP","1364.10597933","1985.03690231","2481.30984883","3147.84602684"
"Belize","Purchasing Power Parity (NCU per Int$)","","1.21984657","1.12239727","1.12601818","1.12997903"
"Belize","Population (in thousands)","","247.315","283.277","321.608","359.288"
"Belize","Female Population 15-49","","92.165","108.959","123.672","137.287"
"Bolivia Plurinational States of ","Current Health Expenditure (CHE) per Capita in PPP","","151.71211836","207.45974065","270.04615125","446.68589944"
"Bolivia Plurinational States of ","Gross Domestic Product ","in million current PPP","29165.32783501","38147.20419906","52547.84901919","74592.16228001"
"Bolivia Plurinational States of ","Purchasing Power Parity (NCU per Int$)","","1.7804703","2.01912569","2.62381815","3.057037"
"Bolivia Plurinational States of ","Population (in thousands)","","8339.512","9125.409","9918.242","10724.705"
"Bolivia Plurinational States of ","Female Population 15-49","","3027.796","3308.449","3591.586","3874.855"
"Brazil","Current Health Expenditure (CHE) per Capita in PPP","","750.99653655","879.76868661","1131.51800171","1392.55701189"
"Brazil","Gross Domestic Product ","in million current PPP","1579406.18510879","2044286.00593058","2801316.37938545","3233454.31543694"
"Brazil","Purchasing Power Parity (NCU per Int$)","","0.75918406","1.06063437","1.3864696","1.85427701"
"Brazil","Population (in thousands)","","175287.587","186917.361","196796.269","205962.108"
"Brazil","Female Population 15-49","","65760.515","69285.617","71505.071","72200.492"
"Canada","Current Health Expenditure (CHE) per Capita in PPP","","2417.95884903","3277.81669356","4204.98389496","4617.7343333"
"Canada","Gross Domestic Product ","in million current PPP","898024.61955047","1167581.26765345","1361137.27076635","1599827.25906489"
"Canada","Purchasing Power Parity (NCU per Int$)","","1.227561","1.213644","1.221134","1.246954"
"Canada","Population (in thousands)","","30735.773","32287.98","34168.668","35949.709"
"Canada","Female Population 15-49","","9975.346","10089.508","10127.706","10163.779"
"Chile","Current Health Expenditure (CHE) per Capita in PPP","","673.40561599","841.69065094","1237.45756638","1891.21277201"
"Chile","Gross Domestic Product ","in million current PPP","146094.7598784","206274.40267014","310389.43149648","404737.21699965"
"Chile","Purchasing Power Parity (NCU per Int$)","","287.520198","333.69","359.25389","394.344607"
"Chile","Population (in thousands)","","15262.754","16147.064","16993.354","17762.681"
"Chile","Female Population 15-49","","5462.275","5643.277","5741.969","5787.101"
"Colombia","Current Health Expenditure (CHE) per Capita in PPP","","360.67425332","455.96595799","668.13310715","832.68954244"
"Colombia","Gross Domestic Product ","in million current PPP","266073.56402296","357035.29035995","490405.41387116","666806.16690725"
"Colombia","Purchasing Power Parity (NCU per Int$)","","783.734381","952.723748","1111.170441","1198.717168"
"Colombia","Population (in thousands)","","40403.958","43285.634","45918.097","48228.697"
"Colombia","Female Population 15-49","","15416.573","16218.165","16822.925","17108.426"
"Costa Rica","Current Health Expenditure (CHE) per Capita in PPP","","516.23077572","657.26388621","1033.40557534","1233.47479169"
"Costa Rica","Gross Domestic Product ","in million current PPP","30735.48514819","41701.06016872","57893.32401752","76221.60218287"
"Costa Rica","Purchasing Power Parity (NCU per Int$)","","149.90135922","228.60030324","338.50080873","383.93160419"
"Costa Rica","Population (in thousands)","","3925.443","4247.841","4545.28","4807.852"
"Costa Rica","Female Population 15-49","","1436.93","1545.774","1603.245","1631.383"
"Cuba","Current Health Expenditure (CHE) per Capita in PPP","","546.62974474","1067.13888229","2022.1487391","3135.22418635"
"Cuba","Gross Domestic Product ","in million current PPP","92622.42424242","137560.76153161","214426.66666667","281073.5483871"
"Cuba","Purchasing Power Parity (NCU per Int$)","","0.33","0.31","0.3","0.31"
